SpineMid               , -0.08962192  ,   -0.2482237 ,    1.162272
Neck                   , -0.08097588  ,  -0.01783585 ,    1.176146
Head                   , -0.05852578  ,    0.1267075 ,    1.172411
ShoulderLeft           , -0.2433402   ,   -0.1174952 ,    1.134899
ElbowLeft              , -0.3150999   ,   -0.3144103 ,    1.094482
WristLeft              , -0.2896657   ,    -0.448102 ,   0.9625795
HandLeft               , -0.2802613   ,   -0.4647043 ,   0.9320423
ShoulderRight          , 0.09266724   ,   -0.1166341 ,    1.144729
ElbowRight             , 0.1150207    ,   -0.2303575 ,   0.9876621
WristRight             , 0.06550328   ,   -0.2502391 ,   0.7578744
HandRight              , 0.04424354   ,    -0.265236 ,   0.6470036
HipRight               , -0.004415172 ,   -0.4821826 ,    1.103014
SpineShoulder          , -0.0831837   ,  -0.07450928 ,    1.174892
HandTipLeft            , -0.2883728   ,   -0.4731372 ,   0.8606775
ThumbLeft              , -0.2705619   ,    -0.526974 ,   0.9582001
HandTipRight           , 0.01828162   ,   -0.2831827 ,   0.5613068
ThumbRight             , 0.09415561   ,   -0.3127711 ,   0.6562816

