SpineMid               , -0.02871494  ,   -0.2451811 ,    1.156501
Neck                   , -0.03505507  ,  -0.01931648 ,    1.164369
Head                   , -0.02274014  ,    0.1279154 ,    1.168792
ShoulderLeft           , -0.1939125   ,   -0.1245935 ,    1.117589
ElbowLeft              , -0.2382344   ,   -0.2927453 ,    1.044753
WristLeft              , -0.2048003   ,   -0.4140173 ,   0.9661233
HandLeft               , -0.211518    ,   -0.4234076 ,   0.9154301
ShoulderRight          , 0.1378759    ,   -0.1221171 ,    1.140938
ElbowRight             , 0.182432     ,   -0.2388156 ,    1.040115
WristRight             , 0.1311856    ,   -0.2562943 ,   0.8440638
HandRight              , 0.0474266    ,   -0.2601751 ,   0.6738169
HipRight               , 0.0580606    ,   -0.4599119 ,    1.093288
SpineShoulder          , -0.03295721  ,  -0.07458182 ,     1.16507
HandTipLeft            , -0.2302579   ,   -0.4413166 ,   0.8277802
ThumbLeft              , -0.234275    ,   -0.3848376 ,   0.9026471
HandTipRight           , 0.01094509   ,   -0.2841736 ,   0.5783142
ThumbRight             , 0.0009529844 ,   -0.2134165 ,   0.7111739

